name_serie,release_date,channel,runtime,end_date,genre,rating,votes
Jake Long: Dragón Occidental,"Oct. 07, 1996",Nickelodeon,30m,"Jun. 08, 2004",Animacion,9.7,264
Ken En Ken: Aoki Kagayaki,"May. 27, 2015",USA Network,43m,"Dec. 13, 2017",Crimen,9.6,263
Duelo Xiaolin,"Apr. 04, 1998",TV Asahi,30m,"Oct. 10, 1998",Action & Adventure,9.5,262
Slap Up Party: Arad Senki,"Aug. 01, 2012",Cartoon Network,22m,"Nov. 14, 2014",Action & Adventure,9.4,261
Desencanto,"Jul. 12, 2010",Cartoon Network,22m,"Apr. 05, 2013",Action & Adventure,9.6,259
Un jefe en pañales: De vuelta a los negocios,"Aug. 05, 2019",Cartoon Network,10m,"Aug. 09, 2019",Action & Adventure,9.6,254
David el Gnomo,"Sep. 05, 1992",Fox Broadcasting Company,30m,"Sep. 15, 1995",Action & Adventure,9.8,246
Guardianes de la Galaxia,"Oct. 15, 2012",Disney XD,22m,"May. 13, 2015",Action & Adventure,9.5,239
Bakumatsu: Renai Bakumatsu Kareshi Gaiden,"Sep. 04, 1995",Broadcast syndication,45m,"Jun. 25, 2001",Comedia,9.5,231
Dino Rey,"Oct. 12, 2009",TV Tokyo,25m,"Jan. 06, 2019",Action & Adventure,9.7,228
Toradora!,"Oct. 02, 2011",Nippon TV,24m,"Sep. 24, 2014",Action & Adventure,9.6,225
"Drama Total: Luz, Drama, Acción","Apr. 01, 2012",Disney XD,21m,"Jan. 01, 2017",Action & Adventure,9.4,224
Mob Psycho 100,"Feb. 07, 1996",Fuji Television,25m,"Nov. 19, 1997",Action & Adventure,9.1,221
X-Men: Evolution,"Oct. 31, 1992",Fox Broadcasting Company,22m,"Sep. 20, 1997",Action & Adventure,9.6,215
Voltron: El defensor legendario,"Nov. 17, 2001",Cartoon NetworkWarner Home Video,23m,"May. 13, 2006",Action & Adventure,9.4,210
Nanbaka,"Oct. 04, 1995",TV Tokyo,25m,"Mar. 27, 1996",Animacion,9.5,209
Static Shock,"Jul. 05, 2014",Niconico,25m,"Jun. 27, 2016",Animacion,9.5,206
New Game!,"Mar. 30, 2001",Nickelodeon,11m,"Aug. 19, 2006",Animacion,9.7,205
El Conde Pátula,"Aug. 13, 1997",Comedy CentralSyndication,22m,"Dec. 06, 2017",Animacion,9.7,203
ThunderCats 2011,"Nov. 09, 2013",Disney XD,22m,"Dec. 02, 2018",Action & Adventure,9.4,198
Goblin Slayer,"Sep. 12, 2004",Nickelodeon,24m,"Oct. 30, 2006",Comedia,9.6,194
Sword Art Online,"Nov. 03, 2014",Cartoon Network,11m,"Nov. 07, 2014",Animacion,9.9,192
Berserk 1997,"Apr. 23, 2010",Cartoon Network,30m,"Mar. 31, 2012",Action & Adventure,9.6,191
Full Metal Panic!,"Oct. 27, 2004",Comedy Central,30m,"Nov. 15, 2007",Animacion,9.5,191
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,"Oct. 27, 1995",Cartoon Network,30m,"Nov. 16, 1998",Live action,9.5,189
Inazuma Eleven Ares no Tenbin,"Jan. 09, 2011",FOX,21m,"Apr. 29, 2018",Animacion,9.4,188
Hora de aventura,"Jan. 10, 1996",Fuji TV,25m,"May. 24, 1998",Action & Adventure,9.7,187
El oso Yogui,"Aug. 17, 2007",Disney Channel,11m,"Jun. 12, 2015",Animacion,9.4,185
Manzana y Cebollín,"Apr. 05, 2009",Adult Swim,25m,"Jul. 04, 2010",Action & Adventure,9.6,181
Kiznaiver,"Nov. 12, 1999",Cartoon Network,11m,"Nov. 22, 2002",Animacion,9.6,181
Final Space,"Feb. 26, 2018",TBSNetflix,22m,"Apr. 30, 2018",Animacion,9.5,178
"Ponte en onda, Scooby-Doo!","Aug. 24, 2001",Cartoon Network,11m,"Nov. 09, 2007",Animacion,9.5,177
Carmen Sandiego 2019,"Apr. 06, 2019",Tokyo MX,24m,"May. 18, 2019",Animacion,9.5,176
Black clover,"Apr. 04, 2010",Disney Channel,23m,"Jan. 10, 2014",Comedia,9.4,175
South Park,"Apr. 23, 2010",Cartoon Network,30m,"Mar. 22, 2012",Action & Adventure,9.6,173
Atomic Puppet,"Dec. 06, 2002",Kids' WB,"30,22m","Jan. 21, 2008",Action & Adventure,9.6,172
Kappa Mikey,"Feb. 10, 1940",CBS,10m,"Jan. 01, 1967",Animacion,9.6,169
Tsukumogami Kashimasu,"Sep. 14, 2018",Netflix,27m,"Sep. 14, 2018",Action & Adventure,9.2,169
Monster Strike,"Jan. 21, 2005",Disney Channel,30m,"Aug. 12, 2007",Animacion,9.5,168
Los Halcones Galácticos,"Oct. 04, 2003",TBS,25m,"Oct. 02, 2004",Action & Adventure,9.4,165
Muhyo to Rouji no Mahouritsu Soudan Jimusho,"Sep. 29, 2017",Netflix,27m,"Sep. 29, 2017",Animacion,9.2,165
He-Man y los Amos del Universo,"Oct. 01, 2016",Cartoon NetworkSuper RTL,11m,"Feb. 17, 2018",Action & Adventure,6.8,164
Masha y el Oso,"Sep. 17, 2012",Disney XD,11m,"Feb. 07, 2014",Accion,9.5,156
Danny Phantom,"Nov. 28, 2008",Nickelodeon,11m,"Feb. 28, 2013",Animacion,9.6,156
Los cuentos de la calle broca,"Mar. 30, 2001",Nickelodeon,12m,"Jan. 22, 2016",Animacion,9.2,151
Clannad,"Jan. 10, 2012",Tokyo Metropolitan Television,20m,"Mar. 27, 2012",Action & Adventure,9.5,150
Las sombrías aventuras de Billy y Mandy,"Sep. 09, 2000",The WB Television Network,30m,"Jul. 08, 2005",Action & Adventure,9.5,149
