name_serie,release_date,channel,runtime,end_date,genre,rating,votes
Voltron: El defensor legendario,"Nov. 12, 1999",Cartoon Network,11m,"Nov. 22, 2002",Animacion,9.6,182
Chuunibyou demo Koi ga Shitai!,"Jul. 19, 2003",Cartoon Network,22m,"Jan. 16, 2006",Action & Adventure,9.7,931
New Game!,,,,,,,
Orange,,,,,,,
Ben 10 Reboot,,,,,,,
Digimon Universe: Appli Monsters,,,,,,,
La ley de Milo Murphy,,,,,,,
Nanbaka,,,,,,,
Atomic Puppet,,,,,,,
Yuri!!! on Ice,,,,,,,
Gravity Falls,,,,,,,
Love Live! Sunshine!!,,,,,,,
Bloodivores,,,,,,,
Un show más,,,,,,,
Dragon Ball GT,,,,,,,
Death Note,,,,,,,
Nobunaga no Shinobi,,,,,,,
Steven Universe,,,,,,,
Los padrinos mágicos,,,,,,,
Dragon Ball Z,,,,,,,
Drifters,,,,,,,
Inuyasha,,,,,,,
Inspector Gadget,,,,,,,
CatDog,,,,,,,
Animaniacs,,,,,,,
Dragon Ball Super,,,,,,,
Invasor Zim,,,,,,,
KND: Los chicos del barrio,,,,,,,
Los Picapiedra,,,,,,,
"Coraje, el perro cobarde",,,,,,,
Jóvenes Titanes,,,,,,,
